Transcript.ID,Gene.ID,expression,change,log_change,DMSO_4H_2,THZ1_4H_250nM,log2_fold_4h_250nM,rank
NM_001122842,NCOA7,7.675,7.473,-0.202,9.722,8.1325,-1.5895,1298
NM_001123226,MTO1,9.011,7.6245,-1.3865,9.734,8.081,-1.653,1621
NM_001123364,C6orf186,4.5885,4.2715,-0.317,4.762,4.2485,-0.5135,220
NM_001126133,TNNT1,9.3435,9.106,-0.2375,8.033,7.6615,-0.3715,1675
NM_001126328,LNX1,4.758,4.955,0.197,5.651,4.865,-0.786,294
NM_001127192,CNBP,11.839,11.6345,-0.2045,12.503,11.9985,-0.5045,1957
NM_001127194,CNBP,11.839,11.6345,-0.2045,12.503,11.9985,-0.5045,1958
NM_001127198,TMC6,7.3015,6.8695,-0.432,7.498,7.3255,-0.1725,1207
NM_001127244,LRRC8A,6.6445,5.799,-0.8455,6.513,5.4255,-1.0875,1044
NM_001127322,CBX5,7.964,7.7225,-0.2415,9.792,8.593,-1.199,1379
NM_001127360,PHTF2,7.662,7.2935,-0.3685,10.096,9.065,-1.031,1295
NM_001127393,C14orf2,11.756,11.793,0.037,12.309,12.074,-0.235,1953
NM_001127464,ZNF469,6.0705,5.286,-0.7845,5.932,5.366,-0.566,836
NM_001127644,GABRA1,4.2205,4.337,0.1165,4.155,4.104,-0.051,131
NM_001127645,GABRA1,4.2205,4.337,0.1165,4.155,4.104,-0.051,132
NM_001127707,SERPINA1,4.496,4.3925,-0.1035,4.011,4.2345,0.2235,192
NM_001128177,THRB,5.1325,5.0175,-0.115,5.307,5.138,-0.169,472
NM_001128204,SULF1,5.2485,5.051,-0.1975,5.338,5.342,0.004,526
NM_001128228,TPRN,6.274,6.398,0.124,6.703,5.973,-0.73,918
NM_001128598,KRTAP25-1,4.2415,3.5985,-0.643,3.965,3.7685,-0.1965,141
NM_001128633,RIMBP3C,8.643,5.904,-2.739,8.227,5.6615,-2.5655,1537
NM_001128930,ENTPD4,8.994,9.116,0.122,9.54,8.957,-0.583,1618
NM_001129730,ZNF837,7.664,6.009,-1.655,7.286,5.716,-1.57,1296
NM_001130011,TEX101,4.6575,4.655,-0.0025,4.641,4.6175,-0.0235,259
NM_001130025,FAM115C,6.137,5.7435,-0.3935,6.094,5.7695,-0.3245,863
NM_001130041,SHC1,10.135,9.8455,-0.2895,9.8,8.682,-1.118,1803
NM_001130091,LRRC48,5.91,5.4175,-0.4925,5.797,5.6695,-0.1275,779
NM_001130105,COL4A3BP,6.1035,6.043,-0.0605,7.847,6.8255,-1.0215,845
NM_001130111,FAM108A1,10.709,10.634,-0.075,10.55,9.8285,-0.7215,1886
NM_001130146,CCDC77,5.9755,4.8675,-1.108,7.354,4.971,-2.383,805
NM_001130405,PRR20C,4.503,4.255,-0.248,4.974,4.71,-0.264,194
NM_001130448,C15orf62,5.8745,5.4505,-0.424,5.572,5.3095,-0.2625,767
NM_001130481,VRK2,5.781,5.5535,-0.2275,7.49,6.451,-1.039,726
NM_001130685,GUCY1A3,5.666,5.3425,-0.3235,6.924,5.74,-1.184,685
NM_001130686,GUCY1A3,5.484,6.25,0.766,6.924,5.74,-1.184,619
NM_001130725,PSMB5,10.7795,9.314,-1.4655,11.426,9.8605,-1.5655,1890
NM_001130726,CCDC149,4.8085,4.7935,-0.015,4.818,4.62,-0.198,318
NM_001130910,CCRL2,7.942,5.0605,-2.8815,5.909,4.741,-1.168,1372
NM_001130913,ZNF720,8.854,7.669,-1.185,8.071,6.1585,-1.9125,1590
NM_001130917,LILRA2,5.8875,5.2405,-0.647,6.311,5.7965,-0.5145,775
NM_001130924,TMEM201,7.916,6.2785,-1.6375,6.778,6.393,-0.385,1364
NM_001130978,DYSF,6.8615,6.4875,-0.374,6.682,6.31,-0.372,1111
NM_001130983,DYSF,6.8615,6.4875,-0.374,6.682,6.31,-0.372,1112
NM_001130986,DYSF,6.8615,6.4875,-0.374,6.682,6.31,-0.372,1110
NM_001134382,IQSEC1,8.2425,6.7875,-1.455,7.488,6.081,-1.407,1443
NM_001134400,CYB561D1,5.26,5.2625,0.0025,5.56,5.0835,-0.4765,531
NM_001134451,TMEM130,5.3815,4.9115,-0.47,5.233,5.217,-0.016,583
NM_001134476,LRRC8B,7.18,7.19,0.01,8.323,6.771,-1.552,1186
NM_001134656,ZNF662,4.3835,4.4535,0.07,3.92,4.6735,0.7535,169
NM_001134693,OST4,11.5825,11.3895,-0.193,11.83,11.3075,-0.5225,1945
NM_001134870,PPP1R18,12.029,11.4975,-0.5315,10.654,9.717,-0.937,1967
NM_001134875,C14orf80,7.827,6.836,-0.991,7.874,6.421,-1.453,1349
NM_001135047,JDP2,6.55,5.8335,-0.7165,6.026,5.18,-0.846,1004
NM_001135053,SIGIRR,9.26,8.959,-0.301,8.777,8.0845,-0.6925,1662
NM_001135095,FNDC3B,5.8205,5.9675,0.147,6.42,6.2435,-0.1765,750
NM_001135101,CRELD2,11.07,10.8605,-0.2095,10.657,9.608,-1.049,1911
NM_001135188,AGFG1,8.3075,8.542,0.2345,9.269,7.883,-1.386,1463
NM_001135191,ASAP2,7.128,5.3035,-1.8245,8.447,6.349,-2.098,1176
NM_001135239,LDHA,13.5565,13.444,-0.1125,13.811,13.0755,-0.7355,1995
NM_001135697,SGCA,6.033,5.7895,-0.2435,6.462,6.2735,-0.1885,827
NM_001135730,TOM1,8.1405,7.7475,-0.393,8.323,7.4865,-0.8365,1414
NM_001135822,FDPS,10.696,10.4015,-0.2945,11.96,11.547,-0.413,1885
NM_001136008,FXYD3,6.0845,5.7615,-0.323,6.301,5.8805,-0.4205,839
NM_001136040,CPSF7,8.3125,7.4025,-0.91,8.145,6.6685,-1.4765,1465
NM_001136051,LRIG3,5.922,5.457,-0.465,5.972,5.347,-0.625,782
NM_001136113,POMT1,7.937,7.259,-0.678,8.105,6.9675,-1.1375,1369
NM_001136199,GRAMD1A,8.745,7.5605,-1.1845,7.735,6.373,-1.362,1559
NM_001136234,FAM48B1,4.7425,4.458,-0.2845,4.242,4.722,0.48,290
NM_001142,AMELX,6.2205,5.837,-0.3835,6.241,6.1035,-0.1375,896
NM_001142275,NIPA1,7.594,8.168,0.574,7.717,6.554,-1.163,1279
NM_001142283,RPS24,13.186,13.1395,-0.0465,14.023,13.762,-0.261,1986
NM_001142292,LMAN2L,8.9485,6.544,-2.4045,8.999,5.951,-3.048,1611
NM_001142294,SPG20,6.6335,5.935,-0.6985,8.569,6.7755,-1.7935,1039
NM_001142298,SQSTM1,10.0605,9.9155,-0.145,9.803,8.4715,-1.3315,1791
NM_001142299,SQSTM1,10.0605,9.9155,-0.145,9.803,8.4715,-1.3315,1790
NM_001142430,MORF4L2,9.771,9.2135,-0.5575,11.297,9.376,-1.921,1743
NM_001142444,EDC3,7.2375,6.706,-0.5315,7.15,5.9985,-1.1515,1196
NM_001142541,SLC35B3,8.43,5.4135,-3.0165,9.128,6.771,-2.357,1485
NM_001142574,IMPDH1,6.3955,6.0385,-0.357,6.799,5.977,-0.822,959
NM_001142577,ZNF780A,5.7575,5.823,0.0655,6.115,6.124,0.009,713
NM_001142605,EFTUD2,9.6735,9.3005,-0.373,10.302,9.607,-0.695,1728
NM_001142615,EHBP1,5.271,4.912,-0.359,7.063,6.3925,-0.6705,535
NM_001142648,SAR1A,10.184,10.461,0.277,10.84,10.105,-0.735,1812
NM_001142653,AARSD1,6.945,6.6235,-0.3215,6.531,6.0655,-0.4655,1130
NM_001142782,MAGI3,5.6675,5.471,-0.1965,7.112,5.329,-1.783,686
NM_001142934,CHAT,6.681,6.342,-0.339,6.549,6.3035,-0.2455,1056
NM_001143678,SGK1,8.723,9.188,0.465,5.917,6.0885,0.1715,1553
NM_001143759,LRRC27,6.403,4.991,-1.412,6.159,4.7635,-1.3955,964
NM_001143787,PPHLN1,9.424,9.528,0.104,10.882,10.0385,-0.8435,1687
NM_001143890,BSDC1,6.5805,6.295,-0.2855,6.507,5.4945,-1.0125,1013
NM_001143941,RBM24,4.122,4.2245,0.1025,4.216,4.1425,-0.0735,114
NM_001143968,ARL5C,5.1325,5.1015,-0.031,5.097,5.128,0.031,473
NM_001143992,WRAP53,5.064,4.6085,-0.4555,4.763,4.6285,-0.1345,432
NM_001143999,SEC14L1,7.6795,7.4765,-0.203,8.334,6.8875,-1.4465,1301
NM_001144005,SLITRK2,5.384,5.1865,-0.1975,5.489,5.166,-0.323,585
NM_001144027,NDOR1,5.794,5.5465,-0.2475,6.346,5.996,-0.35,736
NM_001144062,COPB1,9.2955,9.152,-0.1435,11.377,10.5595,-0.8175,1666
NM_001144869,LIPT2,7.3425,5.474,-1.8685,6.976,4.8435,-2.1325,1219
NM_001144952,SDK2,7.0145,6.465,-0.5495,5.956,5.0275,-0.9285,1147
NM_001144964,NEDD4L,6.655,6.623,-0.032,6.884,6.1355,-0.7485,1049
NM_001145028,PALM3,6.131,5.635,-0.496,5.789,5.769,-0.02,858
NM_001145065,FAM190A,3.4455,3.91,0.4645,3.101,3.7165,0.6155,16
NM_001145076,EML4,4.99,5.0335,0.0435,6.128,5.5755,-0.5525,392
NM_001145088,WDR67,6.5835,4.1365,-2.447,7.811,5.6075,-2.2035,1014
NM_001145099,SLC2A6,8.6385,7.142,-1.4965,8.008,7.0245,-0.9835,1536
NM_001145152,VPS37A,7.966,7.611,-0.355,7.553,6.8285,-0.7245,1381
NM_001145165,DOHH,7.9845,7.6075,-0.377,8.571,7.098,-1.473,1383
NM_001145166,PRMT3,8.2565,7.165,-1.0915,9.912,8.8325,-1.0795,1445
NM_001145195,SLC39A12,4.0915,3.9885,-0.103,4.058,4.2095,0.1515,108
NM_001145201,PRAP1,6.1335,5.9005,-0.233,6.642,5.7985,-0.8435,859
NM_001145255,IKBKG,6.552,6.104,-0.448,6.665,5.9745,-0.6905,1006
NM_001145263,NCOA4,7.4045,7.3905,-0.014,7.866,6.5965,-1.2695,1228
NM_001145275,ZFY,4.014,4.3435,0.3295,4.705,4.1415,-0.5635,90
NM_001145277,NECAP2,8.9405,8.11,-0.8305,8.838,7,-1.838,1609
NM_001145282,OPRM1,5.8395,5.6345,-0.205,6.413,5.916,-0.497,758
NM_001145291,PDE6B,7.8245,6.426,-1.3985,8.168,7.3665,-0.8015,1347
NM_001145293,NGLY1,8.993,7.882,-1.111,10.518,8.8525,-1.6655,1617
NM_001145308,LRTOMT,6.6145,6.3225,-0.292,6.706,6.088,-0.618,1027
NM_001145311,PLIN1,5.1425,5.652,0.5095,5.227,5.0925,-0.1345,477
NM_001145312,ETV3,5.8435,5.5675,-0.276,5.865,5.697,-0.168,759
NM_001145368,PTPN3,7.291,5.2645,-2.0265,8.268,5.767,-2.501,1205
NM_001145402,FAM71E2,5.087,5.0615,-0.0255,5.368,4.961,-0.407,442
NM_001145409,NONO,10.333,10.051,-0.282,11.1,10.265,-0.835,1830
NM_001145440,TYW1B,6.3955,6.2035,-0.192,6.576,5.588,-0.988,960
NM_001145522,RAI14,4.5685,3.9485,-0.62,4.29,4.276,-0.014,213
NM_001145640,ZFR2,5.253,4.9635,-0.2895,5.747,5.036,-0.711,529
NM_001145649,ZNF529,8.3145,8.2,-0.1145,9.198,7.061,-2.137,1466
NM_001145715,KPNA7,6.1975,5.962,-0.2355,6.547,6.2755,-0.2715,884
NM_001145716,PNPLA1,5.0705,4.7855,-0.285,5.143,4.699,-0.444,436
NM_001145771,GPR56,6.688,6.5835,-0.1045,7,6.455,-0.545,1059
NM_001145795,SH2B1,7.3285,6.9935,-0.335,7.505,6.828,-0.677,1215
NM_001145819,SOX6,4.5785,4.6775,0.099,4.251,4.3765,0.1255,217
NM_001145847,PROM1,5.04,4.5665,-0.4735,5.169,4.8055,-0.3635,420
NM_001145903,C2,3.71,3.736,0.026,3.823,3.4455,-0.3775,38
NM_001145962,SLC12A4,7.463,6.8535,-0.6095,7.811,7.162,-0.649,1239
NM_001145963,SLC12A4,7.463,6.8535,-0.6095,7.811,7.162,-0.649,1240
NM_001146055,SNCA,5.444,4.926,-0.518,5.525,5.4225,-0.1025,608
NM_001146162,TRIM77P,4.267,4.0845,-0.1825,4.445,4.187,-0.258,144
NM_001146226,KRT72,6.176,5.408,-0.768,5.231,5.2805,0.0495,877
NM_001146227,RPS20,13.301,13.2525,-0.0485,13.93,13.401,-0.529,1988
NM_001146267,GPR85,4.2775,4.2225,-0.055,4.183,4.493,0.31,147
NM_001146278,NCEH1,5.656,5.759,0.103,5.682,4.565,-1.117,678
NM_001146345,PQLC1,8.496,8.13,-0.366,8.591,8.148,-0.443,1501
NM_001146696,KDM4C,6.2035,5.4435,-0.76,6.503,5.4075,-1.0955,886
NM_001159323,PLA2G4C,4.513,4.3165,-0.1965,4.422,4.287,-0.135,200
NM_001159380,MTHFSD,6.9385,4.8495,-2.089,5.814,5.783,-0.031,1129
NM_001159390,GUK1,11.105,11.1245,0.0195,11.205,10.629,-0.576,1915
NM_001159587,CD109,5.4575,5.5275,0.07,5.564,5.448,-0.116,612
NM_001159597,SH3YL1,6.7965,6.4335,-0.363,8.22,7.1105,-1.1095,1087
NM_001159676,SYNCRIP,8.921,9.145,0.224,11.263,10.2955,-0.9675,1604
NM_001159704,FHL1,7.9575,8.179,0.2215,8.605,8.0965,-0.5085,1376
NM_001159707,BTNL8,5.0695,4.936,-0.1335,5.085,5.101,0.016,435
NM_001159927,FBXW12,4.839,4.875,0.036,4.626,4.846,0.22,331
NM_001159995,NRG1,5.695,5.6895,-0.0055,5.906,5.9735,0.0675,697
NM_001159996,NRG1,5.695,5.6895,-0.0055,5.906,5.9735,0.0675,698
NM_001160147,DDHD1,6.7455,6.948,0.2025,8.834,7.081,-1.753,1074
NM_001160267,RPAIN,11.53,11.148,-0.382,11.986,11.111,-0.875,1942
NM_001160367,CDK10,8.5365,8.108,-0.4285,8.655,7.936,-0.719,1512
NM_001160389,TRPT1,6.785,6.319,-0.466,8.39,7.6805,-0.7095,1085
NM_001160393,TRPT1,6.785,6.319,-0.466,8.39,7.6805,-0.7095,1084
NM_001160419,ZBP1,5.076,4.8485,-0.2275,5.208,4.943,-0.265,437
NM_001161012,ARMC10,10.013,9.6165,-0.3965,10.684,10.068,-0.616,1783
NM_001161404,LIMS2,8.151,7.633,-0.518,7.94,7.409,-0.531,1415
NM_001161426,ZNF610,5.3045,4.576,-0.7285,5.052,4.3315,-0.7205,550
NM_001161532,CSF2RA,4.4435,4.2635,-0.18,4.397,4.325,-0.072,183
NM_001161573,MAFF,5.554,5.5925,0.0385,6.105,5.982,-0.123,643
NM_001161625,NXNL2,5.7815,5.6645,-0.117,6.109,5.896,-0.213,727
NM_001161778,PDP1,6.874,7.033,0.159,7.362,5.582,-1.78,1116
NM_001161808,GPR144,6.3975,6.0425,-0.355,6.723,6.2155,-0.5075,962
NM_001162490,ARL13A,3.145,3.1955,0.0505,3.215,2.9765,-0.2385,7
NM_001163121,RDM1,6.605,6.177,-0.428,6.918,6.47,-0.448,1023
NM_001164162,PPP6R3,6.535,6.31,-0.225,8.392,6.9905,-1.4015,1000
NM_001164189,PLIN3,8.2175,7.5095,-0.708,8.369,7.8535,-0.5155,1435
NM_001164269,RAD51,9.1725,8.1445,-1.028,9.387,7.768,-1.619,1649
NM_001164313,ZBTB24,8.268,6.9365,-1.3315,9.569,5.412,-4.157,1452
NM_001164373,GPN3,9.336,9.0175,-0.3185,10.952,10.037,-0.915,1672
NM_001164540,DISC1,5.0145,4.781,-0.2335,5.016,4.9735,-0.0425,407
NM_001164542,DISC1,5.0145,4.781,-0.2335,5.016,4.9735,-0.0425,406
NM_001164552,DISC1,5.0145,4.781,-0.2335,5.016,4.9735,-0.0425,408
NM_001164688,RD3,6.128,5.6535,-0.4745,6.282,5.929,-0.353,856
NM_001164803,RBMX,11.0605,9.593,-1.4675,11.777,10.5835,-1.1935,1910
NM_001164814,ACIN1,7.2455,6.623,-0.6225,8.349,7.0645,-1.2845,1197
NM_001165038,GFRA2,3.9115,3.7045,-0.207,3.818,3.637,-0.181,70
NM_001165252,LOC730755,4.9055,4.9605,0.055,5.277,4.957,-0.32,360
NM_001165257,SCG3,3.9125,3.759,-0.1535,4.129,3.556,-0.573,71
NM_001165974,UROC1,5.7185,5.6985,-0.02,5.851,5.642,-0.209,706
NM_001165993,GDPD1,7.402,5.4135,-1.9885,7.075,5.001,-2.074,1226
NM_001166052,APBB2,7.227,6.851,-0.376,8.113,7.556,-0.557,1194
NM_001166055,EDNRA,3.727,3.7055,-0.0215,3.637,3.8455,0.2085,41
NM_001166059,HMGCL,8.4125,7.1585,-1.254,7.866,6.9495,-0.9165,1484
NM_001166112,PNPLA6,6.2685,5.742,-0.5265,6.291,5.9395,-0.3515,914
NM_001166170,NEK6,5.679,5.8715,0.1925,5.861,5.8985,0.0375,691
NM_001166171,NEK6,5.679,5.8715,0.1925,5.861,5.8985,0.0375,690
NM_001166212,CLCF1,5.5075,5.4055,-0.102,5.674,5.1515,-0.5225,623
NM_001166417,SSX2IP,6.3445,6.646,0.3015,8.637,7.785,-0.852,944
NM_001166599,FAM122B,7.355,7.374,0.019,7.796,7.3025,-0.4935,1221
NM_001167880,LHPP,7.0175,6.593,-0.4245,6.799,6.501,-0.298,1149
NM_001168,BIRC5,11.088,10.534,-0.554,11.31,10.7415,-0.5685,1914
NM_001168215,TMEM92,5.223,4.8415,-0.3815,4.957,5.0605,0.1035,512
NM_001168370,CUL7,4.8985,4.658,-0.2405,4.948,4.2945,-0.6535,358
NM_001168377,KIAA0319,5.1925,4.7015,-0.491,5.582,5.018,-0.564,502
NM_001168530,ASB9,5.226,5.2565,0.0305,5.154,4.988,-0.166,513
NM_001168551,TMEM48,9.559,8.4655,-1.0935,11.224,9.7195,-1.5045,1713
NM_001169124,AFF2,5.294,5.047,-0.247,5.305,4.7655,-0.5395,545
NM_001170724,C1orf49,5.0905,4.4665,-0.624,4.965,4.555,-0.41,443
NM_001170780,FAM122C,4.6735,4.4445,-0.229,4.663,4.265,-0.398,264
NM_001171135,ZBED1,7.9955,7.1555,-0.84,7.276,6.228,-1.048,1385
NM_001171184,DRP2,5.791,5.4285,-0.3625,5.487,5.6555,0.1685,733
NM_001171508,MCFD2,6.3255,6.239,-0.0865,6.997,6.583,-0.414,939
NM_001171511,MCFD2,6.3255,6.239,-0.0865,6.997,6.583,-0.414,940
NM_001171819,PPARD,5.0965,4.7895,-0.307,5.166,4.7605,-0.4055,449
NM_001171864,TUBAL3,5.445,5.1355,-0.3095,5.109,4.588,-0.521,609
NM_001171948,C19orf50,9.0735,8.5785,-0.495,9.259,8.718,-0.541,1634
NM_001172105,GRAMD1C,4.3365,4.076,-0.2605,5.162,4.4705,-0.6915,159
NM_001172417,KCNJ13,5.0085,4.8665,-0.142,5.259,4.8535,-0.4055,403
NM_001172623,NEO1,6.1875,5.9435,-0.244,6.169,5.8525,-0.3165,882
NM_001172632,OLR1,5.188,5.0645,-0.1235,5.041,5.1375,0.0965,501
NM_001173393,HAVCR1,3.829,3.739,-0.09,3.75,3.8605,0.1105,53
NM_001173476,SPEG,6.2795,5.7875,-0.492,5.69,5.0545,-0.6355,921
NM_001173487,NKRF,8.839,8.9445,0.1055,10.222,7.8035,-2.4185,1586
NM_001173533,DGCR2,6.0575,5.71,-0.3475,6.054,5.58,-0.474,832
NM_001173543,BANP,8.8975,7.259,-1.6385,9.155,7.0665,-2.0885,1599
NM_001174061,SMG7,5.984,5.759,-0.225,7.225,6.484,-0.741,809
NM_001174084,POLL,6.552,5.8665,-0.6855,6.604,6.1235,-0.4805,1005
NM_001174121,ZFYVE27,9.651,9.4625,-0.1885,9.677,8.6725,-1.0045,1723
NM_001174122,ZFYVE27,9.651,9.4625,-0.1885,9.677,8.6725,-1.0045,1722
NM_001174124,GOLGA7,11.156,10.978,-0.178,11.19,10.2025,-0.9875,1918
NM_001174151,ARL13B,5.94,5.7565,-0.1835,7.594,5.899,-1.695,788
NM_001176,ARHGDIG,6.2695,6.137,-0.1325,6.669,6.0675,-0.6015,916
NM_001177507,AOAH,5.8565,5.3845,-0.472,5.256,4.6245,-0.6315,761
NM_001177562,PPP2R1B,8.788,8.171,-0.617,10.087,8.9355,-1.1515,1569
NM_001177875,PCSK1,5.106,5.176,0.07,5.511,5.143,-0.368,453
NM_001177996,FAM109A,7.125,6.4025,-0.7225,7.02,6.3605,-0.6595,1175
NM_001178003,WDR66,4.9605,4.7935,-0.167,5.145,4.8295,-0.3155,377
NM_001178036,DPP10,5.64,5.5835,-0.0565,6.662,5.9015,-0.7605,672
NM_001178037,DPP10,5.64,5.5835,-0.0565,6.662,5.9015,-0.7605,671
NM_001178061,SEMA6C,7.309,6.8715,-0.4375,7.36,6.8295,-0.5305,1212
NM_001178102,LOX,6.183,5.933,-0.25,6.434,6.0765,-0.3575,881
NM_001182,ALDH7A1,4.606,4.5285,-0.0775,4.486,3.7885,-0.6975,232
NM_001184717,TIPARP,3.854,4.111,0.257,4.771,4.0415,-0.7295,60
NM_001184722,GPI,12.105,12.218,0.113,10.876,10.753,-0.123,1968
NM_001184727,GPRASP1,4.4135,4.29,-0.1235,3.806,3.9705,0.1645,176
NM_001184768,ARMCX6,8.29,7.8195,-0.4705,8.301,7.2535,-1.0475,1460
NM_001184773,SEZ6L,6.3155,6.087,-0.2285,6.708,6.427,-0.281,934
NM_001184780,NOX5,5.0675,4.7765,-0.291,4.085,4.554,0.469,433
NM_001184813,CEACAM1,6.006,5.7165,-0.2895,6.562,5.8565,-0.7055,819
NM_001184832,SLC12A1,4.91,4.8105,-0.0995,5.068,5.1705,0.1025,361
NM_001184961,PEG10,5.574,5.615,0.041,5.739,5.1195,-0.6195,650
NM_001184975,PACSIN3,5.5815,5.1335,-0.448,5.719,5.214,-0.505,653
NM_001185039,ACOX1,7.7955,7.248,-0.5475,8.865,7.732,-1.133,1337
NM_001185057,NOL3,6.814,6.2905,-0.5235,7.057,6.6365,-0.4205,1093
NM_001185062,AQP1,4.96,5.1275,0.1675,5.094,4.7665,-0.3275,376
NM_001185063,ZNF75D,6.127,5.2345,-0.8925,6.923,5.6765,-1.2465,855
NM_001185074,ZCCHC6,4.038,4.8495,0.8115,5.723,4.64,-1.083,96
NM_001188,BAK1,7.8675,7.1305,-0.737,7.422,6.683,-0.739,1356
NM_001190799,PLK4,7.025,6.365,-0.66,9.647,7.72,-1.927,1150
NM_001190821,SMAD7,5.038,4.8115,-0.2265,4.95,4.6305,-0.3195,418
NM_001190822,SMAD7,5.038,4.8115,-0.2265,4.95,4.6305,-0.3195,416
NM_001190880,HYI,4.6955,4.8245,0.129,5.118,4.712,-0.406,273
NM_001190898,PDYN,4.789,4.5945,-0.1945,5.322,4.544,-0.778,307
NM_001190919,THRA,7.9085,7.6055,-0.303,8.176,7.2025,-0.9735,1361
NM_001190943,TNFSF10,7.552,6.3185,-1.2335,6.885,5.1505,-1.7345,1270
NM_001190987,SRSF11,10.5035,10.503,-5.00E-04,12.109,11.4845,-0.6245,1866
NM_001191030,C17orf72,6.111,5.769,-0.342,6.353,5.978,-0.375,849
NM_001191059,PDE1C,3.981,4.073,0.092,2.967,3.8425,0.8755,84
NM_001193272,RBBP5,8.3705,8.2815,-0.089,9.098,8.0495,-1.0485,1477
NM_001193306,FPR1,5.6905,5.14,-0.5505,5.149,4.741,-0.408,695
NM_001193311,C7orf10,4.5095,4.4185,-0.091,4.676,4.8665,0.1905,197
NM_001193338,FAIM3,8.251,6.562,-1.689,6.802,6.539,-0.263,1444
NM_001193416,DDX3X,10.136,10.0185,-0.1175,12.295,10.9855,-1.3095,1804
NM_001193434,C10orf81,4.774,4.9085,0.1345,4.724,4.776,0.052,302
NM_001193466,KIAA1267,10.42,10.059,-0.361,10.531,8.025,-2.506,1852
NM_001193508,REST,6.058,5.99,-0.068,7.147,6.328,-0.819,833
NM_001193524,FAM65A,8.21,7.8815,-0.3285,8.166,7.6885,-0.4775,1432
NM_001193530,CCT6B,5.8905,5.105,-0.7855,5.805,5.1875,-0.6175,777
NM_001193600,SCP2,9.9585,10.1345,0.176,10.791,10.488,-0.303,1776
NM_001193622,LOC390940,4.8005,4.53,-0.2705,4.801,4.353,-0.448,314
NM_001194937,POGZ,9.678,9.632,-0.046,10.235,8.1825,-2.0525,1729
NM_001194938,POGZ,9.678,9.632,-0.046,10.235,8.1825,-2.0525,1730
NM_001194946,EIF4G1,10.145,9.798,-0.347,10.065,9.299,-0.766,1805
NM_001194998,CEP152,6.3615,6.5425,0.181,8.403,7.2075,-1.1955,953
NM_001195000,MR1,7.2525,5.5235,-1.729,6.943,5.357,-1.586,1199
NM_001195037,ECT2L,3.9025,4.234,0.3315,4.387,4.427,0.04,67
NM_001195144,ANKRD44,4.898,4.8295,-0.0685,5.193,4.784,-0.409,357
NM_001195263,PDZD7,6.2775,6.031,-0.2465,6.372,6.2275,-0.1445,920
NM_001195296,MIPOL1,4.374,4.175,-0.199,4.642,4.16,-0.482,168
NM_001195483,SLC12A8,6.5255,6.184,-0.3415,6.361,5.984,-0.377,996
NM_001195740,C1orf93,6.217,5.8585,-0.3585,6.107,6.003,-0.104,894
NM_001195741,C1orf93,6.217,5.8585,-0.3585,6.107,6.003,-0.104,895
NM_001197026,PLEKHA8,7.672,7.52,-0.152,9.437,7.606,-1.831,1297
NM_001197239,BTN2A2,7.785,5.875,-1.91,7.797,5.9275,-1.8695,1333
NM_001197240,BTN2A2,7.785,5.875,-1.91,7.797,5.9275,-1.8695,1332
NM_001197296,ECM2,4.852,4.812,-0.04,5.244,4.8125,-0.4315,334
NM_001198609,MAP7,5.3125,4.9355,-0.377,4.855,4.4865,-0.3685,555
NM_001198619,MAP7,5.3125,4.9355,-0.377,4.855,4.4865,-0.3685,556
NM_001198780,ARPC4,8.885,8.7605,-0.1245,8.993,8.372,-0.621,1595
NM_001198830,LIPF,4.7035,4.8095,0.106,4.702,4.284,-0.418,274
NM_001198834,PDE4DIP,4.975,4.687,-0.288,6.474,5.1015,-1.3725,382
NM_001198842,CCT2,10.032,9.5485,-0.4835,12.121,11.013,-1.108,1786
NM_001198962,ECHDC2,6.434,6.2385,-0.1955,6.661,6.564,-0.097,968
NM_001199013,C1orf201,4.5855,4.6355,0.05,4.605,5.014,0.409,218
NM_001199081,PODN,7.226,6.9855,-0.2405,7.415,7.3105,-0.1045,1193
NM_001199082,PODN,7.226,6.9855,-0.2405,7.415,7.3105,-0.1045,1192
NM_001199135,TANK,6.799,7.075,0.276,7.274,6.676,-0.598,1088
NM_001199148,SLC38A11,4.852,4.605,-0.247,4.56,4.338,-0.222,335
NM_001199174,MLST8,7.5785,6.998,-0.5805,8.28,7.673,-0.607,1277
NM_001199264,SGK2,4.844,4.6675,-0.1765,4.538,4.696,0.158,333
NM_001199397,NEK1,5.22,6.159,0.939,7.797,7.4375,-0.3595,509
NM_001199623,CIDEC,6.1025,5.733,-0.3695,5.934,5.813,-0.121,844
NM_001199629,MYL6B,10.96,10.893,-0.067,10.834,10.371,-0.463,1902
NM_001199660,LETM2,4.873,4.9335,0.0605,5.282,4.0775,-1.2045,344
NM_001199673,CALU,8.5115,8.3055,-0.206,9.55,8.8155,-0.7345,1508
NM_001199753,CPT1C,5.3985,5.101,-0.2975,5.189,5.187,-0.002,592
NM_001199775,CPD,6.3195,6.579,0.2595,8.768,7.7735,-0.9945,936
NM_001199800,ILDR1,6.122,5.775,-0.347,6.128,5.723,-0.405,851
NM_001199852,AK3,10.3805,10.734,0.3535,11.028,10.5825,-0.4455,1837
NM_001199853,AK3,10.3805,10.734,0.3535,11.028,10.5825,-0.4455,1836
NM_001199877,SERF2,12.561,12.484,-0.077,12.897,12.5,-0.397,1973
NM_001199933,SESN1,6.628,6.898,0.27,7.232,5.5755,-1.6565,1037
NM_001201,BMP3,4.0185,3.8845,-0.134,3.938,3.8225,-0.1155,92
