Transcript.ID,Gene.ID,expression,change,log_change,DMSO_4H_2,THZ1_4H_250nM,log2_fold_4h_250nM,rank
NM_001005192,OR7G1,5.2915,4.856,-0.4355,4.827,4.648,-0.179,543
NM_001005275,OR4A15,4.4865,4.3995,-0.087,4.847,4.3205,-0.5265,189
NM_001005288,OR51I1,5.3255,5.064,-0.2615,5.648,5.149,-0.499,560
NM_001005360,DNM2,9.257,8.881,-0.376,9.111,8.4795,-0.6315,1661
NM_001005365,POTEA,3.0565,2.9025,-0.154,3.648,3.28,-0.368,2
NM_001005374,LRSAM1,5.796,5.499,-0.297,5.385,5.4595,0.0745,737
NM_001005487,OR13G1,4.637,4.3095,-0.3275,4.556,4.564,0.008,248
NM_001005742,GBA,6.6465,5.448,-1.1985,6.539,6.0515,-0.4875,1046
NM_001006613,WBP5,8.3335,7.826,-0.5075,9.59,7.931,-1.659,1470
NM_001006634,ARHGAP17,8.4975,7.952,-0.5455,8.371,6.7345,-1.6365,1502
NM_001006640,TCEAL1,8.891,7.7245,-1.1665,8.211,6.567,-1.644,1597
NM_001006932,RPS6KA2,6.126,5.584,-0.542,6.421,5.768,-0.653,852
NM_001007024,GOSR1,9.163,8.4945,-0.6685,9.431,7.66,-1.771,1646
NM_001007097,NTRK2,5.069,5.0705,0.0015,5.4,4.9115,-0.4885,434
NM_001007189,IGIP,5.689,5.545,-0.144,8.086,6.379,-1.707,694
NM_001007245,IFRD1,8.238,8.3575,0.1195,9.226,6.3755,-2.8505,1440
NM_001007532,STH,5.617,5.6095,-0.0075,6.279,5.401,-0.878,663
NM_001008388,CISD2,9.9685,9.943,-0.0255,9.919,8.852,-1.067,1777
NM_001008487,SLC41A3,8.038,7.519,-0.519,7.749,7.2455,-0.5035,1396
NM_001008495,TMEM64,7.8185,8.1325,0.314,7.299,6.2135,-1.0855,1342
NM_001008723,CCDC147,3.854,4.021,0.167,3.762,3.645,-0.117,59
NM_001008740,TMCO2,4.7975,4.7675,-0.03,4.893,4.6295,-0.2635,312
NM_001008784,CD200R1L,4.085,4.1535,0.0685,4.037,4.417,0.38,106
NM_001009608,C20orf94,5.1195,5.037,-0.0825,7.433,5.7255,-1.7075,460
NM_001009615,SPANXN2,3.891,3.6485,-0.2425,4.118,4.155,0.037,64
